iter	Passed	Remaining
0	143	143758
1	151	75522
2	158	52603
3	165	41142
4	172	34232
5	177	29481
6	183	26012
7	188	23387
8	193	21317
9	198	19645
10	202	18231
11	207	17061
12	211	16065
13	215	15192
14	219	14426
15	223	13733
16	226	13103
17	229	12535
18	232	12030
19	236	11595
20	239	11182
21	242	10792
22	245	10442
23	249	10126
24	251	9827
25	255	9557
26	258	9315
27	261	9087
28	265	8885
29	268	8690
30	271	8489
31	275	8320
32	278	8148
33	281	7993
34	284	7838
35	287	7703
36	290	7562
37	293	7437
38	296	7313
39	300	7207
40	303	7107
41	307	7003
42	310	6912
43	315	6850
44	319	6781
45	322	6691
46	325	6608
47	329	6541
48	333	6465
49	336	6386
50	339	6316
51	342	6244
52	346	6182
53	348	6113
54	352	6055
55	355	5995
56	359	5951
57	363	5898
58	366	5846
59	369	5792
60	372	5740
61	376	5688
62	379	5640
63	382	5593
64	385	5549
65	389	5516
66	395	5503
67	399	5473
68	403	5437
69	406	5405
70	410	5366
71	413	5332
72	417	5304
73	421	5268
74	424	5235
75	428	5210
76	432	5183
77	435	5153
78	439	5125
79	442	5092
80	446	5063
81	450	5041
82	453	5010
83	456	4983
84	461	4963
85	464	4941
86	468	4918
87	472	4894
88	476	4874
89	479	4850
90	483	4827
91	487	4806
92	490	4783
93	494	4762
94	497	4744
95	501	4720
96	504	4697
97	507	4674
98	511	4654
99	514	4631
100	518	4617
101	522	4599
102	525	4578
103	529	4562
104	533	4543
105	536	4523
106	539	4503
107	543	4491
108	547	4474
109	552	4471
110	556	4459
111	559	4439
112	563	4424
113	566	4402
114	570	4386
115	573	4369
116	577	4355
117	580	4340
118	584	4327
119	587	4310
120	591	4293
121	594	4275
122	597	4261
123	601	4246
124	604	4228
125	607	4212
126	610	4199
127	614	4185
128	619	4179
129	622	4166
130	626	4153
131	630	4148
132	634	4135
133	637	4121
134	640	4103
135	643	4090
136	647	4075
137	650	4062
138	653	4047
139	656	4033
140	659	4020
141	663	4008
